Feature,Momentum_Importance,Win_Importance,Combined_Rank
Runs_Last_6_Balls,0.630602451419009,0.0036825242555144,1
Current_Run_Rate,0.0195127683983678,0.07277660856624653,2
Current_Wickets,0.007972693607310332,0.0696297102198241,3
Current_Over,0.057925425009079254,0.037533712203203076,4
Team_Win_Percentage,0.004912275713591002,0.04031818996659862,5
Bowling_Team,0.005558063893735502,0.03277100589229257,6
Innings,0.0018790186834192243,0.03168089016952522,7
Venue,0.010807775584513802,0.012159524373521056,8
Current_Partnership_Runs,0.012229022883521625,0.01060701059692925,9
Batting_Impact_Score,0.015545607433451868,0.010080396866829077,10
Bowling_Impact_Score,0.00881202415848961,0.010174431991023483,11
Bowler_Dot_Ball_Percentage,0.01989207894997143,0.008768485722558686,12
Bowler_Economy,0.013470774801777505,0.00860665698021693,13
Bowler_Strike_Rate,0.01287059906068204,0.008405220862257591,14
Current_Partnership_Run_Rate,0.00981010332334551,0.007116548326236599,15
Batter_Career_Strike_Rate,0.012274724663295811,0.006502460288610868,16
Runs_Last_30_Balls,0.018183292309798,0.005042068048723113,17
Current_Ball,0.017608075225998682,0.004568920993972549,18
Batter_Boundary_Percentage,0.010729459585508727,0.005194597348485768,19
Venue_Run_Rate,0.012374690825023528,0.004762957460869273,20
Batter_Career_Average,0.013011782794867154,0.004594286980370047,21
Pressure_Index,0.008019238098969334,0.003462914281822379,22
Batting_Team,0.004588138834404401,0.0037161198263836203,23
Runs_Last_18_Balls,0.007320331398517285,0.0032254984911053697,24
Wickets_Last_12_Balls,0.008842638559586136,0.0024064411841867167,25
Runs_Last_12_Balls,0.009958555598631614,0.0018226165643856953,26
Boundaries_Last_12_Balls,0.0012348506822974223,0.0025455896110194343,27
Dot_Balls_Last_12_Balls,0.002963538603291928,0.0021114357377187156,28
Pressure_Overs_Flag,0.002096889148012077,0.002013670393427965,29
Middle_Overs_Flag,0.00020711206007187696,0.0021993295621620295,30
Powerplay_Flag,0.0,0.0022218248527136014,31
Dot_Balls_Last_6_Balls,0.004600989320948256,0.001623652032484428,32
Wickets_Last_6_Balls,0.0019971918297354615,0.0015745896119978323,33
Boundaries_Last_6_Balls,0.004257402190781451,0.0011911615186726047,34
Bowler_Name,0.012425538123157217,0.0,35
Death_Overs_Flag,0.0026413886722863214,0.0010038035224369816,36
Batter_Name,0.006499038919531779,0.0,37
Season,0.006364449635020363,0.0,38
